date,nikkei,dow,usdjpy
1970-01-01,,,
1970-01-02,,809.2,
1970-01-03,,809.2,
1970-01-04,,809.2,
1970-01-05,2402.85,811.31,
1970-01-06,2406.22,803.66,
1970-01-07,2394.96,801.81,
1970-01-08,2283.68,802.07,
1970-01-09,2283.68,798.11,
1970-01-10,2283.68,798.11,
1970-01-11,2283.68,798.11,
1970-01-12,2324.24,790.52,
1970-01-13,2297.69,788.01,
1970-01-14,2288.14,787.16,
1970-01-15,2288.14,785.04,
1970-01-16,2286.45,782.6,
1970-01-17,2286.45,782.6,
1970-01-18,2286.45,782.6,
1970-01-19,2309.38,776.07,
1970-01-20,2309.94,777.85,
1970-01-21,2325.36,782.27,
1970-01-22,2322.58,786.1,
1970-01-23,2312,775.54,
1970-01-24,2312,775.54,
1970-01-25,2312,775.54,
1970-01-26,2316.71,768.88,
1970-01-27,2316.71,763.99,
1970-01-28,2324.77,758.84,
1970-01-29,2328.6,748.35,
1970-01-30,2296.43,744.06,
1970-01-31,2296.43,744.06,
1970-02-01,2296.43,744.06,
1970-02-02,2310.45,746.44,
1970-02-03,2296.68,757.46,
1970-02-04,2313.31,754.49,
1970-02-05,2306.78,750.26,
1970-02-06,2302.93,752.77,
1970-02-07,2302.93,752.77,
1970-02-08,2302.93,752.77,
1970-02-09,2306.4,755.68,
1970-02-10,2306.25,746.63,
1970-02-11,2306.25,757.33,
1970-02-12,2306.25,755.61,
1970-02-13,2298.65,753.3,
1970-02-14,2298.65,753.3,
1970-02-15,2298.65,753.3,
1970-02-16,2293.93,753.7,
1970-02-17,2294.71,747.43,
1970-02-18,2313.23,756.8,
1970-02-19,2324.4,757.92,
1970-02-20,2322.98,757.46,
1970-02-21,2322.98,757.46,
1970-02-22,2322.98,757.46,
1970-02-23,2361.47,757.46,
1970-02-24,2375.46,754.42,
1970-02-25,2383.18,768.28,
1970-02-26,2385.07,764.45,
1970-02-27,2385.07,777.59,
1970-02-28,2385.07,777.59,
1970-03-01,2385.07,777.59,
1970-03-02,2399.76,780.23,
1970-03-03,2396.64,787.42,
1970-03-04,2422.73,788.15,
1970-03-05,2423.37,787.55,
1970-03-06,2452.26,784.12,
1970-03-07,2452.26,784.12,
1970-03-08,2452.26,784.12,
1970-03-09,2455.17,778.31,
1970-03-10,2470.22,779.7,
1970-03-11,2458.13,778.12,
1970-03-12,2433.12,776.47,
1970-03-13,2446.36,772.11,
1970-03-14,2446.36,772.11,
1970-03-15,2446.36,772.11,
1970-03-16,2446.36,765.05,
1970-03-17,2468.84,767.42,
1970-03-18,2484.62,767.95,
1970-03-19,2490.47,764.98,
1970-03-20,2491.18,763.66,
1970-03-21,2491.18,763.66,
1970-03-22,2491.18,763.66,
1970-03-23,2495.18,763.6,
1970-03-24,2484.15,773.76,
1970-03-25,2481.01,790.13,
1970-03-26,2504.84,791.05,
1970-03-27,2485.36,791.05,
1970-03-28,2485.36,791.05,
1970-03-29,2485.36,791.05,
1970-03-30,2510.24,784.65,
1970-03-31,2510.24,785.57,
1970-04-01,2521.42,792.04,
1970-04-02,2522.84,792.37,
1970-04-03,2500.09,791.84,
1970-04-04,2500.09,791.84,
1970-04-05,2500.09,791.84,
1970-04-06,2534.45,791.18,
1970-04-07,2524.13,791.64,
1970-04-08,2529.65,791.64,
1970-04-09,2515.05,792.5,
1970-04-10,2513.94,790.46,
1970-04-11,2513.94,790.46,
1970-04-12,2513.94,790.46,
1970-04-13,2508.16,785.9,
1970-04-14,2502.03,780.56,
1970-04-15,2502.03,782.6,
1970-04-16,2502.65,775.87,
1970-04-17,2471.21,775.94,
1970-04-18,2471.21,775.94,
1970-04-19,2471.21,775.94,
1970-04-20,2470.67,775.87,
1970-04-21,2469.64,772.51,
1970-04-22,2436.4,762.61,
1970-04-23,2415.67,750.59,
1970-04-24,2422.86,747.29,
1970-04-25,2422.86,747.29,
1970-04-26,2422.86,747.29,
1970-04-27,2386.06,735.15,
1970-04-28,2315.43,724.33,
1970-04-29,2315.43,737.39,
1970-04-30,2114.32,736.07,
1970-05-01,2114.32,733.63,
1970-05-02,2114.32,733.63,
1970-05-03,2114.32,733.63,
1970-05-04,2114.32,714.56,
1970-05-05,2114.32,709.74,
1970-05-06,2191.39,718.39,
1970-05-07,2209.61,723.07,
1970-05-08,2190.54,717.73,
1970-05-09,2190.54,717.73,
1970-05-10,2190.54,717.73,
1970-05-11,2139.07,710.07,
1970-05-12,2149.43,704.59,
1970-05-13,2096.75,693.84,
1970-05-14,2048.72,684.79,
1970-05-15,2018.71,702.22,
1970-05-16,2018.71,702.22,
1970-05-17,2018.71,702.22,
1970-05-18,2047.9,702.81,
1970-05-19,2047.9,691.4,
1970-05-20,1983.78,676.55,
1970-05-21,1982.33,665.25,
1970-05-22,1989.34,662.17,
1970-05-23,1989.34,662.17,
1970-05-24,1989.34,662.17,
1970-05-25,1933.33,641.36,
1970-05-26,1946.48,631.16,
1970-05-27,1929.64,663.2,
1970-05-28,2009.1,684.15,
1970-05-29,2026.1,700.44,
1970-05-30,2026.1,700.44,
1970-05-31,2026.1,700.44,
1970-06-01,2082.37,710.36,
1970-06-02,2082.37,709.61,
1970-06-03,2109.23,713.86,
1970-06-04,2133.85,706.53,
1970-06-05,2123.82,695.03,
1970-06-06,2123.82,695.03,
1970-06-07,2123.82,695.03,
1970-06-08,2109.58,700.23,
1970-06-09,2091.83,700.16,
1970-06-10,2109.47,694.35,
1970-06-11,2029.41,684.42,
1970-06-12,2048.94,684.21,
1970-06-13,2048.94,684.21,
1970-06-14,2048.94,684.21,
1970-06-15,2072.8,687.36,
1970-06-16,2054.37,706.26,
1970-06-17,2054.37,704.68,
1970-06-18,2082.02,712.69,
1970-06-19,2113.22,720.43,
1970-06-20,2113.22,720.43,
1970-06-21,2113.22,720.43,
1970-06-22,2149.28,716.11,
1970-06-23,2131.89,698.11,
1970-06-24,2140.47,692.29,
1970-06-25,2143.45,693.59,
1970-06-26,2135.88,687.84,
1970-06-27,2135.88,687.84,
1970-06-28,2135.88,687.84,
1970-06-29,2131.81,682.91,
1970-06-30,2138.11,683.53,
1970-07-01,2148.79,687.64,
1970-07-02,2148.79,689.14,
1970-07-03,2135.25,689.14,
1970-07-04,2135.25,689.14,
1970-07-05,2135.25,689.14,
1970-07-06,2117.65,675.66,
